rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,small_amount,large_amount,later_delay,choice,exp_id,bonus
937,89,poldrack-single-stim,35,305648,0.0-35.0,s638,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$70</div><br><br><div class = delbox style = ""color:white"">108 days</div></div>","89,71",4000,,20,70,108,larger_later,,
1937,71,poldrack-single-stim,36,311035,0.0-36.0,s638,,5384,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$72</div><br><br><div class = delbox style = ""color:white"">95 days</div></div>","89,71",4000,,20,72,95,smaller_sooner,,
2277,71,poldrack-single-stim,37,316085,0.0-37.0,s638,,5044,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$30</div><br><br><div class = delbox style = ""color:white"">36 days</div></div>","89,71",4000,,20,30,36,smaller_sooner,,
2602,89,poldrack-single-stim,38,320795,0.0-38.0,s638,,4704,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$41</div><br><br><div class = delbox style = ""color:white"">129 days</div></div>","89,71",4000,,20,41,129,larger_later,,
1018,89,poldrack-single-stim,39,325707,0.0-39.0,s638,,4908,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$78</div><br><br><div class = delbox style = ""color:white"">129 days</div></div>","89,71",4000,,20,78,129,larger_later,,
2523,71,poldrack-single-stim,40,330618,0.0-40.0,s638,,4908,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$71</div><br><br><div class = delbox style = ""color:white"">88 days</div></div>","89,71",4000,,20,71,88,smaller_sooner,,
657,89,poldrack-single-stim,41,335461,0.0-41.0,s638,,4840,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$65</div><br><br><div class = delbox style = ""color:white"">159 days</div></div>","89,71",4000,,20,65,159,larger_later,,
1945,71,poldrack-single-stim,42,340576,0.0-42.0,s638,,5112,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$24</div><br><br><div class = delbox style = ""color:white"">125 days</div></div>","89,71",4000,,20,24,125,smaller_sooner,,
1518,71,poldrack-single-stim,43,345690,0.0-43.0,s638,,5112,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">36 days</div></div>","89,71",4000,,20,58,36,smaller_sooner,,
981,89,poldrack-single-stim,44,350399,0.0-44.0,s638,,4704,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$63</div><br><br><div class = delbox style = ""color:white"">37 days</div></div>","89,71",4000,,20,63,37,larger_later,,
1941,71,poldrack-single-stim,45,355242,0.0-45.0,s638,,4840,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$75</div><br><br><div class = delbox style = ""color:white"">41 days</div></div>","89,71",4000,,20,75,41,smaller_sooner,,
1519,89,poldrack-single-stim,46,360085,0.0-46.0,s638,,4840,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$45</div><br><br><div class = delbox style = ""color:white"">72 days</div></div>","89,71",4000,,20,45,72,larger_later,,
