rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,condition,stim_color,stim_word,trial_num,exp_stage,exp_id
902,71,poldrack-single-stim,124,297369,0.0-26.0-81.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,81,test,
523,71,poldrack-single-stim,125,299646,0.0-26.0-82.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,,incongruent,blue,green,82,test,
504,89,poldrack-single-stim,126,301923,0.0-26.0-83.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,83,test,
762,82,poldrack-single-stim,127,303928,0.0-26.0-84.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,84,test,
546,71,poldrack-single-stim,128,306611,0.0-26.0-85.0,s638,,2680,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,85,test,
644,89,poldrack-single-stim,129,308616,0.0-26.0-86.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,,incongruent,red,green,86,test,
816,71,poldrack-single-stim,130,310894,0.0-26.0-87.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,87,test,
802,71,poldrack-single-stim,131,312899,0.0-26.0-88.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,88,test,
595,89,poldrack-single-stim,132,314904,0.0-26.0-89.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,89,test,
862,82,poldrack-single-stim,133,317181,0.0-26.0-90.0,s638,,2272,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,90,test,
692,71,poldrack-single-stim,134,319320,0.0-26.0-91.0,s638,,2136,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,,congruent,blue,blue,91,test,
578,89,poldrack-single-stim,135,321869,0.0-26.0-92.0,s638,,2544,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,,congruent,red,red,92,test,
808,89,poldrack-single-stim,136,324280,0.0-26.0-93.0,s638,,2408,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,,incongruent,red,blue,93,test,
828,82,poldrack-single-stim,137,326285,0.0-26.0-94.0,s638,,2000,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,,incongruent,green,blue,94,test,
