movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
138.9	138.467	-0.2742113402061856	0	PA_with_intermediate	ward_and_allport	71	10.0	poldrack-single-stim	197112	s633	False	
139.245	138.901	-0.36321134020618556	0	PA_with_intermediate	ward_and_allport	89	10.0	poldrack-single-stim		s633	False	
139.25	139.251	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	10.0	poldrack-single-stim	197792,198472,199153	s633	True	
144.311	141.393	2.2107886597938147	1	PA_without_intermediate	ward_and_allport	82	11.0	poldrack-single-stim	199832,200513,201192,201872,202552	s633	False	2.985
144.619	144.313	-0.4012113402061856	0	PA_without_intermediate	ward_and_allport	89	11.0	poldrack-single-stim		s633	False	
146.23	144.625	0.8977886597938144	0	PA_without_intermediate	ward_and_allport	82	11.0	poldrack-single-stim	203232,203912,204593	s633	False	
146.534	146.232	-0.4052113402061856	0	PA_without_intermediate	ward_and_allport	71	11.0	poldrack-single-stim		s633	False	
147.058	146.54	-0.18921134020618557	0	PA_without_intermediate	ward_and_allport	82	11.0	poldrack-single-stim	205272	s633	False	
147.365	147.059	-0.4012113402061856	0	PA_without_intermediate	ward_and_allport	89	11.0	poldrack-single-stim		s633	False	
147.373	147.374	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	11.0	poldrack-single-stim	205953,206632,207312,207993	s633	True	
152.192	150.058	1.4267886597938146	1	PA_without_intermediate	ward_and_allport	82	12.0	poldrack-single-stim	208672,209353,210032	s633	False	2.985
152.498	152.194	-0.4032113402061856	0	PA_without_intermediate	ward_and_allport	89	12.0	poldrack-single-stim	210713	s633	False	
153.091	152.501	-0.11721134020618558	0	PA_without_intermediate	ward_and_allport	82	12.0	poldrack-single-stim	211393	s633	False	
153.497	153.092	-0.30221134020618556	0	PA_without_intermediate	ward_and_allport	89	12.0	poldrack-single-stim		s633	False	
154.677	153.502	0.4677886597938144	0	PA_without_intermediate	ward_and_allport	82	12.0	poldrack-single-stim	212073,212753	s633	False	
154.952	154.679	-0.43421134020618557	0	PA_without_intermediate	ward_and_allport	71	12.0	poldrack-single-stim		s633	False	
154.96	154.961	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	12.0	poldrack-single-stim	213432,214113,214793,215472,216152	s633	True	
160.382	158.052	1.6227886597938146	1	PA_with_intermediate	ward_and_allport	89	13.0	poldrack-single-stim	216833,217512,218192	s633	False	2.985
160.664	160.384	-0.42721134020618556	0	PA_with_intermediate	ward_and_allport	82	13.0	poldrack-single-stim	218872	s633	False	
161.494	160.669	0.11778865979381442	0	PA_with_intermediate	ward_and_allport	89	13.0	poldrack-single-stim	219552	s633	False	
161.862	161.494	-0.3392113402061856	0	PA_with_intermediate	ward_and_allport	71	13.0	poldrack-single-stim	220231	s633	False	
162.59	161.866	0.016788659793814418	0	PA_with_intermediate	ward_and_allport	82	13.0	poldrack-single-stim	220913	s633	False	
162.98	162.591	-0.3182113402061856	0	PA_with_intermediate	ward_and_allport	71	13.0	poldrack-single-stim		s633	False	
162.987	162.988	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	13.0	poldrack-single-stim	221592,222272,222952	s633	True	
167.438	164.994	1.7367886597938145	1	PA_without_intermediate	ward_and_allport	71	14.0	poldrack-single-stim	223632,224313,224992,225672	s633	False	2.985
167.816	167.44	-0.3312113402061856	0	PA_without_intermediate	ward_and_allport	82	14.0	poldrack-single-stim		s633	False	
168.902	167.821	0.3737886597938144	0	PA_without_intermediate	ward_and_allport	71	14.0	poldrack-single-stim	226352,227033	s633	False	
169.289	168.904	-0.3222113402061856	0	PA_without_intermediate	ward_and_allport	89	14.0	poldrack-single-stim		s633	False	
169.886	169.296	-0.11721134020618558	0	PA_without_intermediate	ward_and_allport	71	14.0	poldrack-single-stim	227713	s633	False	
170.246	169.888	-0.3492113402061856	0	PA_without_intermediate	ward_and_allport	82	14.0	poldrack-single-stim	228392	s633	False	
170.255	170.256	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	14.0	poldrack-single-stim	229074,229752,230432	s633	True	
178.628	177.265	0.6557886597938144	1	PA_without_intermediate	ward_and_allport	89	15.0	poldrack-single-stim	235872,236552	s633	False	2.985
178.855	178.63	-0.48221134020618556	0	PA_without_intermediate	ward_and_allport	82	15.0	poldrack-single-stim	237232	s633	False	
179.719	178.862	0.14978865979381442	0	PA_without_intermediate	ward_and_allport	89	15.0	poldrack-single-stim	237912	s633	False	
180.034	179.72	-0.3932113402061856	0	PA_without_intermediate	ward_and_allport	71	15.0	poldrack-single-stim		s633	False	
180.673	180.039	-0.07321134020618558	0	PA_without_intermediate	ward_and_allport	89	15.0	poldrack-single-stim	238593	s633	False	
181.507	180.675	0.12478865979381441	0	PA_without_intermediate	ward_and_allport	82	15.0	poldrack-single-stim	239272	s633	False	
181.513	181.514	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	15.0	poldrack-single-stim	239952,240633,241313	s633	True	
185.346	183.519	1.1197886597938145	1	PA_with_intermediate	ward_and_allport	89	16.0	poldrack-single-stim	241994,242673,243352	s633	False	2.985
185.791	185.349	-0.2652113402061856	0	PA_with_intermediate	ward_and_allport	71	16.0	poldrack-single-stim	244032	s633	False	
186.198	185.802	-0.31121134020618557	0	PA_with_intermediate	ward_and_allport	89	16.0	poldrack-single-stim		s633	False	
186.745	186.199	-0.16121134020618558	0	PA_with_intermediate	ward_and_allport	82	16.0	poldrack-single-stim	244712	s633	False	
187.22	186.752	-0.2392113402061856	0	PA_with_intermediate	ward_and_allport	71	16.0	poldrack-single-stim	245393	s633	False	
187.587	187.222	-0.3422113402061856	0	PA_with_intermediate	ward_and_allport	89	16.0	poldrack-single-stim		s633	False	
187.599	187.6	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	16.0	poldrack-single-stim	246072,246752,247433,248113	s633	True	
191.756	190.151	0.8977886597938144	1	PA_without_intermediate	ward_and_allport	82	17.0	poldrack-single-stim	248793,249473	s633	False	2.985
192.747	191.758	0.2817886597938144	0	PA_without_intermediate	ward_and_allport	89	17.0	poldrack-single-stim	250153,250832	s633	False	
194.366	192.751	0.9077886597938144	0	PA_without_intermediate	ward_and_allport	82	17.0	poldrack-single-stim	251514,252192	s633	False	
195.375	194.368	0.2997886597938144	0	PA_without_intermediate	ward_and_allport	89	17.0	poldrack-single-stim	252873,253553	s633	False	
196.324	195.382	0.2347886597938144	0	PA_without_intermediate	ward_and_allport	82	17.0	poldrack-single-stim	254232	s633	False	
196.595	196.325	-0.4372113402061856	0	PA_without_intermediate	ward_and_allport	71	17.0	poldrack-single-stim	254912	s633	False	
196.607	196.608	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	17.0	poldrack-single-stim	255593,256272,256952	s633	True	
200.311	198.885	0.7187886597938145	1	PA_with_intermediate	ward_and_allport	82	18.0	poldrack-single-stim	257632,258313	s633	False	2.985
201.168	200.312	0.14878865979381442	0	PA_with_intermediate	ward_and_allport	71	18.0	poldrack-single-stim	258993	s633	False	
202.202	201.177	0.31778865979381443	0	PA_with_intermediate	ward_and_allport	82	18.0	poldrack-single-stim	259673,260352	s633	False	
202.526	202.202	-0.3832113402061856	0	PA_with_intermediate	ward_and_allport	89	18.0	poldrack-single-stim		s633	False	
