movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	worker_id	junk
415.654	414.241	1.595	-0.3506	900.0	True	High-Low	stay	twobytwo	89.0	orange	6.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
418.58	417.146	1.595	-0.3296	900.0	True	Magnitude	switch	twobytwo	89.0	orange	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
421.561	420.052	1.595	-0.25460000000000005	900.0	True	Magnitude	stay	twobytwo	89.0	orange	9.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
425.095	423.501	1.595	-0.16960000000000003	900.0	True	Magnitude	stay	twobytwo	71.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
427.625	426.544	0.795	0.11739999999999998	100.0	True	Color		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
430.804	429.192	1.595	-0.1516	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
433.724	432.778	0.795	-0.017600000000000022	100.0	True	Magnitude	stay	twobytwo	71.0	#1F45FC	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
436.373	434.882	1.595	-0.2726	900.0	True	High-Low	switch	twobytwo	71.0	#1F45FC	3.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
439.968	438.059	1.595	0.14539999999999997	900.0	True	High-Low	stay	twobytwo	71.0	orange	4.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
442.729	442.052	0.795	-0.2866	100.0	True	Color		twobytwo	71.0	#1F45FC	3.0	task_switch	color	switch	poldrack-single-stim	s649	False
445.829	444.156	1.595	-0.09060000000000003	900.0	True	Orange-Blue	switch	twobytwo	89.0	orange	1.0	cue_switch	color	stay	poldrack-single-stim	s649	False
447.845	447.197	0.795	-0.31560000000000005	100.0	True	Color	switch	twobytwo	89.0	orange	3.0	cue_switch	color	stay	poldrack-single-stim	s649	False
450.238	449.437	0.795	-0.16260000000000002	100.0	True	High-Low		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
452.598	451.543	0.795	0.09139999999999998	100.0	False	Orange-Blue		twobytwo	71.0	orange	1.0	task_switch	color	switch	poldrack-single-stim	s649	True
455.184	453.921	0.795	0.2994	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
470.875	469.537	0.795	0.37439999999999996	100.0	True	Color	stay	twobytwo	89.0	orange	7.0	cue_stay	color	stay	poldrack-single-stim	s649	False
473.24	471.778	1.595	-0.30160000000000003	900.0	True	Magnitude		twobytwo	89.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
476.551	474.819	1.595	-0.031600000000000024	900.0	True	Orange-Blue		twobytwo	71.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	s649	False
479.644	478.269	1.595	-0.3886	900.0	False	High-Low		twobytwo	89.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	s649	True
482.273	481.174	0.795	0.13539999999999996	100.0	False	Color		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	s649	True
485.067	483.415	1.595	-0.11160000000000002	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	8.0	cue_stay	color	stay	poldrack-single-stim	s649	False
488.895	486.457	1.595	0.6744	900.0	True	Orange-Blue	switch	twobytwo	71.0	#1F45FC	2.0	cue_switch	color	stay	poldrack-single-stim	s649	False
491.034	489.498	1.595	-0.22760000000000002	900.0	True	Color	switch	twobytwo	89.0	orange	1.0	cue_switch	color	stay	poldrack-single-stim	s649	False
494.542	492.403	1.595	0.37539999999999996	900.0	True	High-Low		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
496.411	495.445	0.795	0.0023999999999999772	100.0	True	Orange-Blue		twobytwo	89.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	s649	False
498.99	497.55	1.595	-0.3236	900.0	True	High-Low		twobytwo	71.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
502.509	500.591	0.795	0.9544	100.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	7.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
504.822	503.513	1.595	-0.4546	900.0	True	Orange-Blue		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
507.593	506.554	0.795	0.07539999999999998	100.0	True	High-Low		twobytwo	71.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
510.108	508.658	1.595	-0.31360000000000005	900.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	9.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
512.952	511.563	1.595	-0.37460000000000004	900.0	False	Orange-Blue		twobytwo	89.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	s649	True
515.354	514.739	0.795	-0.3486	100.0	False	Color	switch	twobytwo	89.0	#1F45FC	8.0	cue_switch	color	stay	poldrack-single-stim	s649	True
518.306	516.844	1.595	-0.30160000000000003	900.0	True	High-Low		twobytwo	71.0	#1F45FC	4.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
521.45	519.749	1.595	-0.06260000000000002	900.0	False	Color		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	True
524.057	522.655	1.595	-0.36160000000000003	900.0	True	Color	stay	twobytwo	71.0	#1F45FC	9.0	cue_stay	color	stay	poldrack-single-stim	s649	False
526.634	525.968	0.795	-0.29760000000000003	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
530.64	528.345	1.595	0.5314	900.0	True	Orange-Blue		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	False
531.484	531.385	0.795	-0.8646	100.0	False	Orange-Blue	stay	twobytwo	-1.0	#1F45FC	2.0	cue_stay	color	stay	poldrack-single-stim	s649	True
535.085	533.491	1.595	-0.16960000000000003	900.0	True	High-Low		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
537.928	536.396	1.595	-0.23160000000000003	900.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
540.646	539.438	0.795	0.24439999999999998	100.0	True	Magnitude	stay	twobytwo	71.0	orange	3.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
542.437	541.543	0.795	-0.06960000000000002	100.0	True	Color		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
544.795	543.786	0.795	0.045399999999999975	100.0	True	Color	stay	twobytwo	89.0	orange	6.0	cue_stay	color	stay	poldrack-single-stim	s649	False
547.885	546.3	1.595	-0.17860000000000004	900.0	True	High-Low		twobytwo	71.0	orange	2.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
550.168	549.34	0.795	-0.13560000000000003	100.0	True	Magnitude	switch	twobytwo	71.0	orange	2.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
552.345	551.446	1.595	-0.8646	900.0	False	High-Low	switch	twobytwo	-1.0	orange	6.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	True
556.151	554.487	1.595	-0.09960000000000002	900.0	False	Orange-Blue		twobytwo	71.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	True
558.676	557.665	0.795	0.04739999999999998	100.0	False	High-Low		twobytwo	71.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s649	True
560.45	559.771	0.795	-0.2846	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	9.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
563.763	562.284	1.595	-0.2846	900.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	8.0	cue_stay	magnitude	stay	poldrack-single-stim	s649	False
566.624	565.19	1.595	-0.3296	900.0	False	Orange-Blue		twobytwo	71.0	orange	3.0	task_switch	color	switch	poldrack-single-stim	s649	True
568.33	568.231	0.795	-0.8646	100.0	False	High-Low		twobytwo	-1.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	s649	True
572.081	570.743	1.595	-0.42560000000000003	900.0	True	Color		twobytwo	89.0	orange	2.0	task_switch	color	switch	poldrack-single-stim	s649	False
574.705	573.783	0.795	-0.041600000000000026	100.0	True	Magnitude		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
577.157	576.296	0.795	-0.10260000000000002	100.0	True	High-Low	switch	twobytwo	71.0	orange	1.0	cue_switch	magnitude	stay	poldrack-single-stim	s649	False
579.222	578.536	0.795	-0.2776	100.0	True	Orange-Blue		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
581.561	580.641	0.795	-0.04360000000000002	100.0	False	Orange-Blue	stay	twobytwo	71.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	s649	True
584.681	583.018	1.595	-0.10060000000000002	900.0	True	Orange-Blue	stay	twobytwo	71.0	#1F45FC	3.0	cue_stay	color	stay	poldrack-single-stim	s649	False
586.568	585.923	0.795	-0.31860000000000005	100.0	True	Orange-Blue	stay	twobytwo	89.0	orange	8.0	cue_stay	color	stay	poldrack-single-stim	s649	False
589.75	588.3	1.595	-0.31360000000000005	900.0	True	Color	switch	twobytwo	71.0	#1F45FC	4.0	cue_switch	color	stay	poldrack-single-stim	s649	False
592.746	591.477	0.795	0.3054	100.0	False	Magnitude		twobytwo	71.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	s649	True
596.388	594.535	1.595	0.08939999999999998	900.0	True	Color		twobytwo	89.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	s649	False
599.816	598.12	1.595	-0.06760000000000002	900.0	False	Color	stay	twobytwo	71.0	orange	2.0	cue_stay	color	stay	poldrack-single-stim	s649	True
601.989	601.162	0.795	-0.13660000000000003	100.0	False	Color	stay	twobytwo	89.0	#1F45FC	1.0	cue_stay	color	stay	poldrack-single-stim	s649	True
605.131	603.539	1.595	-0.17160000000000003	900.0	True	High-Low		twobytwo	71.0	#1F45FC	3.0	task_switch	magnitude	switch	poldrack-single-stim	s649	False
608.387	606.716	0.795	0.7074	100.0	True	Color		twobytwo	71.0	#1F45FC	4.0	task_switch	color	switch	poldrack-single-stim	s649	False
610.484	608.956	1.595	-0.23560000000000003	900.0	False	Color	stay	twobytwo	71.0	orange	2.0	cue_stay	color	stay	poldrack-single-stim	s649	True
