movement_onset	onset	duration	response_time	condition	correct	experiment_exp_id	key_press	trial_type	worker_id	junk
118.914	117.54	1.47	0.010411042944785264	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
123.024	121.683	1.47	-0.022588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
127.463	125.827	1.47	0.27241104294478524	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
131.277	130.107	1.47	-0.19358895705521473	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
135.719	134.386	1.47	-0.030588957055214736	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
139.589	138.394	1.47	-0.16858895705521473	BY	1.0	dot_pattern_expectancy	71.0	BY	s641	False
144.71	143.353	1.47	-0.006588957055214735	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
148.877	147.497	1.47	0.016411042944785265	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
153.199	151.639	1.47	0.19641104294478526	BX	0.0	dot_pattern_expectancy	89.0	BX	s641	True
156.667	155.646	1.47	-0.34258895705521475	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	True
161.049	159.654	1.47	0.031411042944785264	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
166.139	164.476	1.47	0.29941104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
170.651	169.028	1.47	0.2594110429447853	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
176.91	175.482	1.47	0.06441104294478527	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
177.122	176.123	1.47	-0.3645889570552147			dot_pattern_expectancy	-1.0		s641	True
191.595	190.135	1.47	0.09641104294478527	AY	1.0	dot_pattern_expectancy	71.0	AY	s641	False
195.683	194.278	1.47	0.041411042944785266	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
199.769	198.421	1.47	-0.015588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
203.87	202.429	1.47	0.07741104294478526	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
207.931	206.435	1.47	0.13241104294478526	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
212.11	210.852	1.47	-0.10558895705521473	BX	1.0	dot_pattern_expectancy	71.0	BX	s641	False
216.342	214.996	1.47	-0.017588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
220.897	219.547	1.47	-0.013588957055214734	AX	1.0	dot_pattern_expectancy	89.0	AX	s641	False
