onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stopped	trial_type	trigger_times	worker_id	junk	condition
82.016	0.55	-0.010881889763779554	450.0	1.0	stop_signal	71.0	True	False	stop_failure	225833,226513,227193,227873	s628	False	stop_failure
84.952	0.55	0.09111811023622045	400.0	1.0	stop_signal	89.0	True	False	go	228553,229233,229913,230594	s628	False	go
87.479	0.55	0.17311811023622045	400.0	1.0	stop_signal	71.0	True	False	go	231273,231954,232633,233314	s628	False	go
90.003	0.55	0.3001181102362204	400.0	1.0	stop_signal	89.0	True	False	go	233993,234675,235353	s628	False	go
92.259	0.55	-0.04088188976377955	400.0	0.0	stop_signal	89.0	True	False	stop_failure	236034,236713,237392,238072	s628	True	stop_failure
94.782	0.55	0.12511811023622044	350.0	1.0	stop_signal	89.0	True	False	go	238753,239432,240113	s628	False	go
97.171	0.55	0.15711811023622044	350.0	1.0	stop_signal	71.0	True	False	go	240792,241473,242152,242833	s628	False	go
99.426	0.55	0.16311811023622044	350.0	1.0	stop_signal	89.0	True	False	go	243512,244192,244873	s628	False	go
100.815	0.55	-0.44188188976377957		0.0	stop_signal	-1.0	True	True	go	245553,246233,246913,247593,248273,248953,249633,250313,250993,251673,252353	s628	True	go
112.329	0.55	0.13911811023622045	350.0	1.0	stop_signal	89.0	True	False	go	255753,256434,257113,257794	s628	False	go
114.581	0.55	-0.03988188976377956	350.0	1.0	stop_signal	89.0	True	False	stop_failure	258473,259153,259833,260514	s628	False	stop_failure
116.972	0.55	0.10411811023622045	300.0	1.0	stop_signal	89.0	True	False	go	261193,261874,262553	s628	False	go
119.497	0.55	-0.44188188976377957	300.0	0.0	stop_signal	-1.0	True	True	stop_success	263233,263915,264593,265274	s628	False	stop_success
121.753	0.55	0.055118110236220444	350.0	1.0	stop_signal	89.0	True	False	stop_failure	265952,266633,267312	s628	False	stop_failure
124.14	0.55	0.12611811023622044	300.0	1.0	stop_signal	89.0	True	False	go	267993,268672,269353,270032	s628	False	go
126.804	0.55	-0.008881889763779554	300.0	1.0	stop_signal	71.0	True	False	stop_failure	270713,271392,272073	s628	False	stop_failure
129.056	0.55	-0.06288188976377955	250.0	0.0	stop_signal	89.0	True	False	go	272753,273433,274113,274793,275473	s628	True	go
132.261	0.55	-0.0018818897637795544	250.0	1.0	stop_signal	89.0	True	False	go	276153,276833,277513,278193	s628	False	go
134.653	0.55	0.048118110236220445	250.0	1.0	stop_signal	89.0	True	False	go	278873,279553,280233	s628	False	go
137.045	0.55	-0.44188188976377957	250.0	0.0	stop_signal	-1.0	True	True	stop_success	280913,281593,282273,282953	s628	False	stop_success
139.573	0.55	0.15211811023622043	300.0	1.0	stop_signal	89.0	True	False	go	283633,284314,284993	s628	False	go
141.827	0.55	-0.44188188976377957	300.0	0.0	stop_signal	-1.0	True	True	stop_success	285674,286353,287034	s628	False	stop_success
144.08	0.55	-0.44188188976377957	350.0	0.0	stop_signal	-1.0	True	True	stop_success	287713,288394,289073,289754	s628	False	stop_success
146.333	0.55	0.023118110236220447	400.0	1.0	stop_signal	71.0	True	False	go	290433,291114,291793,292474	s628	False	go
149.269	0.55	0.18211811023622043	400.0	1.0	stop_signal	89.0	True	False	go	293154,293834,294512,295193	s628	False	go
151.797	0.55	0.17411811023622045	400.0	1.0	stop_signal	71.0	True	False	go	295873,296553,297232	s628	False	go
154.325	0.55	0.010118110236220446	400.0	1.0	stop_signal	71.0	True	False	go	297914,298592,299273,299953	s628	False	go
