movement_onset	onset	duration	response_time	CTI	correct	cue	cue_switch	experiment_exp_id	key_press	stim_color	stim_number	switch_type	task	task_switch	trial_type	trigger_times	worker_id	junk
580.536	578.881	1.595	-0.012337499999999977	900.0	True	High-Low		twobytwo	89.0	orange	8.0	task_switch	magnitude	switch	poldrack-single-stim	693032,693712,694392	s628	False
583.311	581.788	0.795	0.6556625	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	7.0	cue_stay	magnitude	stay	poldrack-single-stim	695072,695752,696432	s628	False
584.743	583.895	0.795	-0.019337499999999976	100.0	True	Magnitude	switch	twobytwo	89.0	#1F45FC	9.0	cue_switch	magnitude	stay	poldrack-single-stim	697112,697792,698472,699152	s628	False
587.904	586.271	1.595	-0.03433749999999998	900.0	True	Color		twobytwo	89.0	#1F45FC	2.0	task_switch	color	switch	poldrack-single-stim	700512,701192,701872	s628	False
591.173	589.313	1.595	0.19266250000000001	900.0	True	High-Low		twobytwo	89.0	orange	6.0	task_switch	magnitude	switch	poldrack-single-stim	703233,703912,704592	s628	False
594.183	592.22	1.595	0.29566250000000005	900.0	True	Orange-Blue		twobytwo	71.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	706632,707312,707992	s628	False
595.896	595.127	0.795	-0.09833749999999998	100.0	True	Orange-Blue	stay	twobytwo	89.0	#1F45FC	9.0	cue_stay	color	stay	poldrack-single-stim	708672,709352,710032	s628	False
598.821	597.231	1.595	-0.07733749999999998	900.0	True	High-Low		twobytwo	89.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	711392,712073,712752,713433	s628	False
602.334	600.818	1.595	-0.15133749999999999	900.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	8.0	cue_stay	magnitude	stay	poldrack-single-stim	714793,715471,716152	s628	False
604.504	603.725	0.795	-0.08833749999999997	100.0	True	Orange-Blue		twobytwo	71.0	orange	1.0	task_switch	color	switch	poldrack-single-stim	716832,717512,718191,718872	s628	False
606.964	606.103	0.795	-0.006337499999999977	100.0	True	Magnitude		twobytwo	71.0	orange	3.0	task_switch	magnitude	switch	poldrack-single-stim	719552,720232,720912	s628	False
609.39	608.216	0.795	0.3066625	100.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	4.0	task_switch	color	switch	poldrack-single-stim	721592,722272,722952	s628	False
611.405	610.592	0.795	-0.054337499999999976	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	724312,724992,725672,726352	s628	False
615.109	613.65	1.595	-0.20833749999999998	900.0	True	Magnitude	stay	twobytwo	71.0	orange	2.0	cue_stay	magnitude	stay	poldrack-single-stim	727712,728393,729072	s628	False
618.545	616.557	1.595	0.3206625	900.0	True	High-Low	switch	twobytwo	71.0	#1F45FC	4.0	cue_switch	magnitude	stay	poldrack-single-stim	731113,731792	s628	False
620.899	619.464	1.595	-0.23233749999999997	900.0	True	Orange-Blue		twobytwo	89.0	#1F45FC	1.0	task_switch	color	switch	poldrack-single-stim	733834,734512,735192	s628	False
623.905	622.371	1.595	-0.13333749999999997	900.0	True	Orange-Blue	stay	twobytwo	71.0	orange	2.0	cue_stay	color	stay	poldrack-single-stim	736553,737232,737913	s628	False
626.128	625.28	0.795	-0.019337499999999976	100.0	True	Orange-Blue	stay	twobytwo	89.0	#1F45FC	6.0	cue_stay	color	stay	poldrack-single-stim	738592,739273,739952	s628	False
629.766	627.523	1.595	0.5756625000000001	900.0	True	High-Low		twobytwo	89.0	orange	7.0	task_switch	magnitude	switch	poldrack-single-stim	741993,742671,743351	s628	False
631.528	630.428	0.795	0.23266250000000002	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	6.0	cue_stay	magnitude	stay	poldrack-single-stim	744032,744712,745391	s628	False
633.502	632.536	0.795	0.09866250000000003	100.0	True	Color		twobytwo	71.0	orange	8.0	task_switch	color	switch	poldrack-single-stim	746072,746751,747432	s628	False
635.582	634.643	0.795	0.07166250000000002	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	9.0	task_switch	magnitude	switch	poldrack-single-stim	748112,748792,749472	s628	False
638.46	637.025	1.595	-0.23233749999999997	900.0	True	Color		twobytwo	71.0	orange	1.0	task_switch	color	switch	poldrack-single-stim	751512,752192,752872	s628	False
641.361	640.067	0.795	0.4266625	100.0	True	Magnitude		twobytwo	71.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	753552,754234,754912	s628	False
642.96	642.171	0.795	-0.07833749999999998	100.0	True	Magnitude	stay	twobytwo	89.0	orange	9.0	cue_stay	magnitude	stay	poldrack-single-stim	755593,756272,756953	s628	False
645.455	644.414	0.795	0.17366250000000003	100.0	True	Color		twobytwo	89.0	#1F45FC	4.0	task_switch	color	switch	poldrack-single-stim	757632,758313,758992,759673	s628	False
648.88	647.334	1.595	-0.12133749999999997	900.0	True	Orange-Blue	switch	twobytwo	89.0	#1F45FC	8.0	cue_switch	color	stay	poldrack-single-stim	761712,762393,763072	s628	False
652.296	650.649	1.595	-0.020337499999999977	900.0	True	High-Low		twobytwo	71.0	#1F45FC	2.0	task_switch	magnitude	switch	poldrack-single-stim	765113,765792,766473	s628	False
655.188	653.553	1.595	-0.03233749999999998	900.0	True	Color		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	767833,768512,769193	s628	False
657.514	656.593	0.795	0.05366250000000002	100.0	True	Magnitude		twobytwo	89.0	#1F45FC	8.0	task_switch	magnitude	switch	poldrack-single-stim	769873,770553,771232	s628	False
660.297	658.839	1.595	-0.20933749999999998	900.0	True	Color		twobytwo	89.0	#1F45FC	6.0	task_switch	color	switch	poldrack-single-stim	773272,773952,774632	s628	False
662.795	661.882	0.795	0.04566250000000002	100.0	True	Color	stay	twobytwo	71.0	orange	3.0	cue_stay	color	stay	poldrack-single-stim	775312,775992,776672,777352	s628	False
666.046	664.53	1.595	-0.15133749999999999	900.0	True	Magnitude		twobytwo	89.0	#1F45FC	7.0	task_switch	magnitude	switch	poldrack-single-stim	778712,779392,780072	s628	False
668.494	667.572	0.795	0.054662500000000024	100.0	True	Color		twobytwo	71.0	orange	4.0	task_switch	color	switch	poldrack-single-stim	780752,781432,782112	s628	False
671.241	669.679	1.595	-0.10533749999999997	900.0	True	High-Low		twobytwo	71.0	orange	1.0	task_switch	magnitude	switch	poldrack-single-stim	784152,784833,785512	s628	False
673.837	672.586	0.795	0.3836625	100.0	True	High-Low	stay	twobytwo	89.0	#1F45FC	8.0	cue_stay	magnitude	stay	poldrack-single-stim	786193,786872,787553	s628	False
675.646	674.698	0.795	0.08066250000000003	100.0	True	Color		twobytwo	89.0	#1F45FC	9.0	task_switch	color	switch	poldrack-single-stim	788232,788913,789592	s628	False
678.373	676.804	1.595	-0.09833749999999998	900.0	True	High-Low		twobytwo	89.0	#1F45FC	6.0	task_switch	magnitude	switch	poldrack-single-stim	790952,791633,792312	s628	False
681.312	679.846	1.595	-0.20133749999999997	900.0	True	Magnitude	switch	twobytwo	89.0	orange	9.0	cue_switch	magnitude	stay	poldrack-single-stim	794353,795033,795713	s628	False
684.181	682.757	1.595	-0.24333749999999998	900.0	True	Color		twobytwo	71.0	orange	7.0	task_switch	color	switch	poldrack-single-stim	797073,797753,798433	s628	False
686.99	685.664	0.795	0.45866250000000003	100.0	True	High-Low		twobytwo	89.0	orange	9.0	task_switch	magnitude	switch	poldrack-single-stim	799112,799793,800472	s628	False
689.53	687.768	0.795	0.8946625	100.0	True	Orange-Blue		twobytwo	71.0	orange	9.0	task_switch	color	switch	poldrack-single-stim	801153,801832,802512	s628	False
691.679	690.01	1.595	0.0016625000000000227	900.0	True	High-Low		twobytwo	71.0	orange	4.0	task_switch	magnitude	switch	poldrack-single-stim	804552,805233,805912	s628	False
693.789	693.053	0.795	-0.13133749999999997	100.0	True	Color		twobytwo	89.0	#1F45FC	7.0	task_switch	color	switch	poldrack-single-stim	806593,807272,807953	s628	False
