onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
206.349	0.56	0.1102598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	332678,333358,334039	s629	False
208.604	0.56	0.19025984251968509	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	334719,335399,336078,336759	s629	False
211.06	0.56	0.059259842519685094	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	337439,338119,338800	s629	False
213.317	0.56	0.2062598425196851	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	339480,340159,340839,341519	s629	False
215.773	0.56	0.2322598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	342199,342879,343559,344239	s629	False
218.428	0.56	0.08725984251968509	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	344919,345599,346279	s629	False
220.883	0.56	0.1962598425196851	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	346959,347639,348320,348999	s629	False
223.239	0.56	0.1332598425196851	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	349678,350359,351039	s629	False
225.494	0.56	-0.11674015748031491	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	351718,352399,353079,353759	s629	False
228.05	0.56	0.007259842519685094	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	354438,355119,355799	s629	False
230.306	0.56	-0.05274015748031491	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	356479,357158,357839	s629	False
232.561	0.56	0.1652598425196851	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	358519,359199,359879,360559	s629	False
234.917	0.56	0.08925984251968509	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	361240,361919,362599	s629	False
237.174	0.56	0.29825984251968507	250.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_signal	363279,363960,364639,365320	s629	True
239.829	0.56	0.11825984251968509	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	366000,366679,367359,368039	s629	False
242.185	0.56	-0.032740157480314905	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	368720,369398,370079	s629	False
244.641	0.56	-0.048740157480314905	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	370759,371438,372119,372799	s629	False
246.997	0.56	0.04225984251968509	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	373479,374159,374839	s629	False
249.253	0.56	0.024259842519685094	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	375519,376198,376879	s629	False
251.509	0.56	0.1602598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	377559,378238,378920,379599	s629	False
253.765	0.56	0.031259842519685097	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	380279,380959,381638	s629	False
255.02	0.56	-0.6257401574803149		0.0	motor_selective_stop_signal	-1.0	True		True		382319,382999,383679,384359,385039,385719,386400,387080,387759,388439,389120	s629	True
266.538	0.56	-0.6257401574803149	150.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	392519,393200,393879,394559	s629	False
268.894	0.56	0.0902598425196851	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	395239,395919,396599,397279,397959	s629	False
