CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2272.0,False,71.0,Magnitude,switch,test,twobytwo,,-1.0,"89,71",-1.0,#1F45FC,1000.0,8.0,cue_switch,magnitude,stay,,261253,0.0,stim,9.0,poldrack-single-stim,s251
100.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",819.0,#1F45FC,1000.0,2.0,cue_stay,magnitude,stay,,263495,0.0,stim,10.0,poldrack-single-stim,s251
100.0,2408.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",656.0,orange,1000.0,8.0,task_switch,color,switch,,266009,0.0,stim,11.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",666.0,#1F45FC,1000.0,3.0,task_switch,magnitude,switch,,269049,0.0,stim,12.0,poldrack-single-stim,s251
900.0,2136.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",608.0,orange,1000.0,7.0,cue_switch,magnitude,stay,,272089,0.0,stim,13.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",534.0,orange,1000.0,9.0,task_switch,color,switch,,274993,0.0,stim,14.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",609.0,orange,1000.0,8.0,cue_stay,color,stay,,277899,0.0,stim,15.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",650.0,#1F45FC,1000.0,9.0,task_switch,magnitude,switch,,280803,0.0,stim,16.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",853.0,#1F45FC,1000.0,1.0,task_switch,color,switch,,282908,0.0,stim,17.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",639.0,orange,1000.0,7.0,task_switch,magnitude,switch,,285013,0.0,stim,18.0,poldrack-single-stim,s251
900.0,2272.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",535.0,orange,1000.0,8.0,task_switch,color,switch,,288191,0.0,stim,19.0,poldrack-single-stim,s251
900.0,2408.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",569.0,#1F45FC,1000.0,3.0,cue_stay,color,stay,,291504,0.0,stim,20.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",604.0,orange,1000.0,6.0,cue_stay,color,stay,,293610,0.0,stim,21.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",884.0,orange,1000.0,3.0,task_switch,magnitude,switch,,296649,0.0,stim,22.0,poldrack-single-stim,s251
100.0,2000.0,False,71.0,High-Low,switch,test,twobytwo,,89.0,"89,71",1259.0,#1F45FC,1000.0,9.0,cue_switch,magnitude,stay,,298754,0.0,stim,23.0,poldrack-single-stim,s251
100.0,2136.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",878.0,orange,1000.0,9.0,cue_stay,magnitude,stay,,300997,0.0,stim,24.0,poldrack-single-stim,s251
900.0,2544.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",605.0,#1F45FC,1000.0,7.0,cue_stay,magnitude,stay,,304446,0.0,stim,25.0,poldrack-single-stim,s251
100.0,2680.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",948.0,orange,1000.0,2.0,task_switch,color,switch,,307232,0.0,stim,26.0,poldrack-single-stim,s251
100.0,3088.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1082.0,orange,1000.0,2.0,task_switch,magnitude,switch,,310424,0.0,stim,27.0,poldrack-single-stim,s251
900.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",898.0,orange,1000.0,2.0,cue_stay,magnitude,stay,,313465,0.0,stim,28.0,poldrack-single-stim,s251
900.0,2544.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",910.0,#1F45FC,1000.0,8.0,cue_stay,magnitude,stay,,316915,0.0,stim,29.0,poldrack-single-stim,s251
100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",1055.0,#1F45FC,1000.0,8.0,task_switch,color,switch,,319021,0.0,stim,30.0,poldrack-single-stim,s251
100.0,2136.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",776.0,#1F45FC,1000.0,2.0,cue_switch,color,stay,,321263,0.0,stim,31.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",743.0,orange,1000.0,7.0,task_switch,magnitude,switch,,323368,0.0,stim,32.0,poldrack-single-stim,s251
900.0,2408.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",845.0,#1F45FC,1000.0,2.0,task_switch,color,switch,,326681,0.0,stim,33.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1064.0,#1F45FC,1000.0,6.0,task_switch,magnitude,switch,,328787,0.0,stim,34.0,poldrack-single-stim,s251
100.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",681.0,#1F45FC,1000.0,8.0,cue_stay,magnitude,stay,,330894,0.0,stim,35.0,poldrack-single-stim,s251
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",778.0,orange,1000.0,8.0,task_switch,color,switch,,333799,0.0,stim,36.0,poldrack-single-stim,s251
100.0,2680.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",681.0,#1F45FC,1000.0,3.0,cue_stay,color,stay,,336584,0.0,stim,37.0,poldrack-single-stim,s251
900.0,2272.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",793.0,#1F45FC,1000.0,8.0,cue_switch,color,stay,,339761,0.0,stim,38.0,poldrack-single-stim,s251
100.0,2408.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1132.0,orange,1000.0,3.0,task_switch,magnitude,switch,,342273,0.0,stim,39.0,poldrack-single-stim,s251
