,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
78,3540.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",399,500.0,,27115,probe,4.0,poldrack-single-stim,s546
81,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",233,500.0,,31259,probe,5.0,poldrack-single-stim,s546
84,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",401,500.0,,35265,probe,6.0,poldrack-single-stim,s546
87,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",368,500.0,,39273,probe,7.0,poldrack-single-stim,s546
90,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",444,500.0,,43550,probe,8.0,poldrack-single-stim,s546
93,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",263,500.0,,48508,probe,9.0,poldrack-single-stim,s546
96,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",487,500.0,,52924,probe,10.0,poldrack-single-stim,s546
99,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",248,500.0,,57065,probe,11.0,poldrack-single-stim,s546
102,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",338,500.0,,61071,probe,12.0,poldrack-single-stim,s546
105,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",406,500.0,,65213,probe,13.0,poldrack-single-stim,s546
108,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",456,500.0,,69356,probe,14.0,poldrack-single-stim,s546
111,2452.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",359,500.0,,74314,probe,15.0,poldrack-single-stim,s546
114,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",403,500.0,,78319,probe,16.0,poldrack-single-stim,s546
117,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",280,500.0,,82324,probe,17.0,poldrack-single-stim,s546
120,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",420,500.0,,86466,probe,18.0,poldrack-single-stim,s546
123,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",447,500.0,,90607,probe,19.0,poldrack-single-stim,s546
126,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",658,500.0,,94749,probe,20.0,poldrack-single-stim,s546
129,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",403,500.0,,98755,probe,21.0,poldrack-single-stim,s546
132,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",470,500.0,,102764,probe,22.0,poldrack-single-stim,s546
135,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",685,500.0,,107044,probe,23.0,poldrack-single-stim,s546
138,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",440,500.0,,111730,probe,24.0,poldrack-single-stim,s546
141,1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",332,500.0,,116010,probe,25.0,poldrack-single-stim,s546
144,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",725,500.0,,120016,probe,26.0,poldrack-single-stim,s546
147,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",636,500.0,,124023,probe,27.0,poldrack-single-stim,s546
150,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",379,500.0,,128166,probe,28.0,poldrack-single-stim,s546
153,2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",666,500.0,,132852,probe,29.0,poldrack-single-stim,s546
