,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
280,PA_with_intermediate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",82,3.0,2.0,"89,71,82",29.0,,412,"0,0,0,1,2,3,0,0,0",,353529,to_board,poldrack-single-stim,s061
281,PA_with_intermediate,,"0,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",89,3.0,3.0,"89,71,82",29.0,,743,"0,0,0,1,2,3,0,0,0",,354290,to_hand,poldrack-single-stim,s061
282,PA_with_intermediate,,"0,0,0,1,3,0,2,0,0",practice,ward_and_allport,"0,0,0,1,3,0,2,0,0",71,3.0,3.0,"89,71,82",29.0,,259,"0,0,0,1,2,3,0,0,0",,354550,to_board,poldrack-single-stim,s061
283,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8190.0,-1,,,358202,feedback,poldrack-single-stim,s061
284,,,,,ward_and_allport,,-1,,,none,,,-1,,,363204,reminder,poldrack-single-stim,s061
285,PA_without_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,1.0,71,30.0,,1720,"0,0,0,1,2,3,0,0,0",,364938,to_hand,poldrack-single-stim,s061
286,PA_without_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",89,3.0,1.0,"89,71,82",30.0,,406,"0,0,0,1,2,3,0,0,0",,365347,to_board,poldrack-single-stim,s061
287,PA_without_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,2.0,"89,71",30.0,,346,"0,0,0,1,2,3,0,0,0",,365715,to_hand,poldrack-single-stim,s061
288,PA_without_intermediate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",89,3.0,2.0,"89,71,82",30.0,,312,"0,0,0,1,2,3,0,0,0",,366029,to_board,poldrack-single-stim,s061
289,PA_without_intermediate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",71,3.0,3.0,"89,71",30.0,,308,"0,0,0,1,2,3,0,0,0",,366357,to_hand,poldrack-single-stim,s061
290,PA_without_intermediate,,"3,2,0,0,0,0,1,0,0",practice,ward_and_allport,"3,2,0,0,0,0,1,0,0",82,3.0,3.0,"89,71,82",30.0,,300,"0,0,0,1,2,3,0,0,0",,366659,to_board,poldrack-single-stim,s061
291,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10884.0,-1,,,369086,feedback,poldrack-single-stim,s061
292,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,3,1,0,2,0,0",89,3.0,1.0,89,31.0,,2081,"1,2,3,0,0,0,0,0,0",,371191,to_hand,poldrack-single-stim,s061
