,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
58,900.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",656.0,orange,1000.0,3.0,color,stay,,-60375,stim,10.0,poldrack-categorize,s373
63,100.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",897.0,orange,1000.0,6.0,magnitude,switch,,-56758,stim,11.0,poldrack-categorize,s373
68,100.0,2000.0,True,89.0,High-Low,switch,practice,twobytwo,500.0,89.0,"89,71",874.0,#1F45FC,1000.0,1.0,magnitude,stay,,-53143,stim,12.0,poldrack-categorize,s373
73,100.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",1023.0,#1F45FC,1000.0,7.0,color,switch,,-49521,stim,13.0,poldrack-categorize,s373
78,900.0,2000.0,True,89.0,Orange-Blue,stay,practice,twobytwo,500.0,89.0,"89,71",764.0,#1F45FC,1000.0,6.0,color,stay,,-45105,stim,14.0,poldrack-categorize,s373
83,900.0,2000.0,True,71.0,Color,switch,practice,twobytwo,500.0,71.0,"89,71",747.0,orange,1000.0,2.0,color,stay,,-40689,stim,15.0,poldrack-categorize,s373
107,100.0,2136.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",839.0,#1F45FC,1000.0,9.0,color,stay,,5757,stim,0.0,poldrack-single-stim,s373
110,900.0,2272.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",484.0,orange,1000.0,4.0,magnitude,switch,,8939,stim,1.0,poldrack-single-stim,s373
113,900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",463.0,orange,1000.0,1.0,color,switch,,11982,stim,2.0,poldrack-single-stim,s373
116,900.0,2272.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",522.0,orange,1000.0,3.0,color,stay,,15161,stim,3.0,poldrack-single-stim,s373
119,100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",698.0,orange,1000.0,1.0,magnitude,switch,,17272,stim,4.0,poldrack-single-stim,s373
122,900.0,2816.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",523.0,orange,1000.0,2.0,magnitude,stay,,20999,stim,5.0,poldrack-single-stim,s373
125,100.0,2408.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",851.0,#1F45FC,1000.0,9.0,magnitude,stay,,23512,stim,6.0,poldrack-single-stim,s373
128,900.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",602.0,orange,1000.0,6.0,magnitude,stay,,26419,stim,7.0,poldrack-single-stim,s373
131,900.0,2544.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",478.0,orange,1000.0,4.0,magnitude,stay,,29870,stim,8.0,poldrack-single-stim,s373
134,900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",522.0,orange,1000.0,1.0,color,switch,,32915,stim,9.0,poldrack-single-stim,s373
137,900.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",533.0,orange,1000.0,3.0,magnitude,switch,,35822,stim,10.0,poldrack-single-stim,s373
