,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
70,PA_without_intermediate,,"0,0,0,3,2,0,1,0,0",practice,ward_and_allport,"0,0,0,3,2,0,1,0,0",82,3.0,3.0,"89,71,82",0.0,,335,"1,2,3,0,0,0,0,0,0",,59038,to_board,poldrack-single-stim,499
71,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,11748.0,-1,,,62135,feedback,poldrack-single-stim,499
72,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,1.0,89,1.0,,3418,"1,2,3,0,0,0,0,0,0",,65557,to_hand,poldrack-single-stim,499
73,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",71,3.0,1.0,"89,71,82",1.0,,660,"1,2,3,0,0,0,0,0,0",,66219,to_board,poldrack-single-stim,499
74,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,2.0,"89,71",1.0,,3699,"1,2,3,0,0,0,0,0,0",,69923,to_hand,poldrack-single-stim,499
75,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",82,3.0,2.0,"89,71,82",1.0,,374,"1,2,3,0,0,0,0,0,0",,70299,to_board,poldrack-single-stim,499
76,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",71,3.0,3.0,"89,71,82",1.0,,450,"1,2,3,0,0,0,0,0,0",,70757,to_hand,poldrack-single-stim,499
77,PA_with_intermediate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,3.0,"89,71,82",1.0,,298,"1,2,3,0,0,0,0,0,0",,71057,to_board,poldrack-single-stim,499
78,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10929.0,-1,,,73064,feedback,poldrack-single-stim,499
79,PA_without_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",89,3.0,1.0,89,2.0,,3638,"1,2,3,0,0,0,0,0,0",,76707,to_hand,poldrack-single-stim,499
80,PA_without_intermediate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"0,0,0,1,0,0,3,2,0",82,3.0,1.0,"89,71,82",2.0,,294,"1,2,3,0,0,0,0,0,0",,77004,to_board,poldrack-single-stim,499
