CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2000.0,False,89.0,Orange-Blue,,practice,twobytwo,500.0,-1.0,"89,71",-1.0,#1F45FC,1000.0,4.0,color,switch,,-147765,0.0,stim,10.0,poldrack-categorize,s499
900.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",914.0,orange,1000.0,3.0,magnitude,switch,,-143352,0.0,stim,11.0,poldrack-categorize,s499
100.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",1084.0,orange,1000.0,3.0,color,switch,,-139736,0.0,stim,12.0,poldrack-categorize,s499
900.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",920.0,orange,1000.0,9.0,color,stay,,-135316,0.0,stim,13.0,poldrack-categorize,s499
100.0,2000.0,True,71.0,Color,switch,practice,twobytwo,500.0,71.0,"89,71",1113.0,orange,1000.0,9.0,color,stay,,-131705,0.0,stim,14.0,poldrack-categorize,s499
900.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",795.0,orange,1000.0,3.0,magnitude,switch,,-127288,0.0,stim,15.0,poldrack-categorize,s499
900.0,3224.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",808.0,orange,1000.0,7.0,magnitude,stay,,7645,0.0,stim,0.0,poldrack-single-stim,s499
100.0,2408.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",930.0,orange,1000.0,9.0,color,switch,,10162,0.0,stim,1.0,poldrack-single-stim,s499
900.0,2816.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",776.0,#1F45FC,1000.0,1.0,magnitude,switch,,13885,0.0,stim,2.0,poldrack-single-stim,s499
100.0,2408.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",1007.0,orange,1000.0,9.0,color,switch,,16398,0.0,stim,3.0,poldrack-single-stim,s499
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",699.0,orange,1000.0,6.0,magnitude,switch,,19440,0.0,stim,4.0,poldrack-single-stim,s499
100.0,2136.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",826.0,#1F45FC,1000.0,9.0,magnitude,stay,,21682,0.0,stim,5.0,poldrack-single-stim,s499
