,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
70,319.0,PA_without_intermediate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"3,1,0,0,0,0,2,0,0",82,3.0,2.0,"89,71,82",2.0,,319,"0,0,0,1,2,3,0,0,0",319.0,,66893,to_board,poldrack-single-stim,s572
71,374.0,PA_without_intermediate,,"3,0,0,0,0,0,2,0,0",practice,ward_and_allport,"3,1,0,0,0,0,2,0,0",71,3.0,3.0,"89,71,82",2.0,,374,"0,0,0,1,2,3,0,0,0",374.0,,67269,to_hand,poldrack-single-stim,s572
72,300.0,PA_without_intermediate,,"3,1,0,0,0,0,2,0,0",practice,ward_and_allport,"3,1,0,0,0,0,2,0,0",89,3.0,3.0,"89,71,82",2.0,,300,"0,0,0,1,2,3,0,0,0",300.0,,67570,to_board,poldrack-single-stim,s572
73,2000.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8454.0,-1,,1000.0,,69577,feedback,poldrack-single-stim,s572
74,3542.0,PA_without_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"2,0,0,3,1,0,0,0,0",82,3.0,1.0,82,3.0,,3542,"0,0,0,0,0,0,1,2,3",3542.0,,73121,to_hand,poldrack-single-stim,s572
75,268.0,PA_without_intermediate,,"0,0,0,3,0,0,1,2,0",practice,ward_and_allport,"2,0,0,3,1,0,0,0,0",71,3.0,1.0,"89,71,82",3.0,,268,"0,0,0,0,0,0,1,2,3",268.0,,73389,to_board,poldrack-single-stim,s572
76,363.0,PA_without_intermediate,,"0,0,0,3,0,0,1,0,0",practice,ward_and_allport,"2,0,0,3,1,0,0,0,0",82,3.0,2.0,"71,82",3.0,,363,"0,0,0,0,0,0,1,2,3",363.0,,73755,to_hand,poldrack-single-stim,s572
77,250.0,PA_without_intermediate,,"2,0,0,3,0,0,1,0,0",practice,ward_and_allport,"2,0,0,3,1,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,250,"0,0,0,0,0,0,1,2,3",250.0,,74005,to_board,poldrack-single-stim,s572
78,595.0,PA_without_intermediate,,"2,0,0,3,0,0,0,0,0",practice,ward_and_allport,"2,0,0,3,1,0,0,0,0",82,3.0,3.0,"89,71,82",3.0,,595,"0,0,0,0,0,0,1,2,3",595.0,,74602,to_hand,poldrack-single-stim,s572
79,233.0,PA_without_intermediate,,"2,0,0,3,1,0,0,0,0",practice,ward_and_allport,"2,0,0,3,1,0,0,0,0",71,3.0,3.0,"89,71,82",3.0,,233,"0,0,0,0,0,0,1,2,3",233.0,,74837,to_board,poldrack-single-stim,s572
80,2000.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,7264.0,-1,,1000.0,,76841,feedback,poldrack-single-stim,s572
81,3716.0,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"2,3,0,0,0,0,1,0,0",82,3.0,1.0,82,4.0,,3716,"0,0,0,0,0,0,1,2,3",3716.0,,80560,to_hand,poldrack-single-stim,s572
82,272.0,PA_with_intermediate,,"0,0,0,3,0,0,1,2,0",practice,ward_and_allport,"2,3,0,0,0,0,1,0,0",71,3.0,1.0,"89,71,82",4.0,,272,"0,0,0,0,0,0,1,2,3",272.0,,80832,to_board,poldrack-single-stim,s572
83,636.0,PA_with_intermediate,,"0,0,0,3,0,0,1,0,0",practice,ward_and_allport,"2,3,0,0,0,0,1,0,0",82,3.0,2.0,"71,82",4.0,,636,"0,0,0,0,0,0,1,2,3",636.0,,81471,to_hand,poldrack-single-stim,s572
84,422.0,PA_with_intermediate,,"2,0,0,3,0,0,1,0,0",practice,ward_and_allport,"2,3,0,0,0,0,1,0,0",89,3.0,2.0,"89,71,82",4.0,,422,"0,0,0,0,0,0,1,2,3",422.0,,81893,to_board,poldrack-single-stim,s572
85,1027.0,PA_with_intermediate,,"2,0,0,0,0,0,1,0,0",practice,ward_and_allport,"2,3,0,0,0,0,1,0,0",71,3.0,3.0,"89,71,82",4.0,,1027,"0,0,0,0,0,0,1,2,3",1027.0,,82923,to_hand,poldrack-single-stim,s572
86,228.0,PA_with_intermediate,,"2,3,0,0,0,0,1,0,0",practice,ward_and_allport,"2,3,0,0,0,0,1,0,0",89,3.0,3.0,"89,71,82",4.0,,228,"0,0,0,0,0,0,1,2,3",228.0,,83152,to_board,poldrack-single-stim,s572
87,2544.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8859.0,-1,,1000.0,,85700,feedback,poldrack-single-stim,s572
