,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
101,4568.0,smaller_sooner,,discount_fixed,71,27.0,130.0,"89,71",1040,20.0,4000.0,,393531,,poldrack-single-stim,s483
102,4840.0,smaller_sooner,,discount_fixed,71,23.0,134.0,"89,71",1143,20.0,4000.0,,398373,,poldrack-single-stim,s483
103,4500.0,smaller_sooner,,discount_fixed,71,55.0,107.0,"89,71",991,20.0,4000.0,,402874,,poldrack-single-stim,s483
104,5656.0,smaller_sooner,,discount_fixed,71,44.0,143.0,"89,71",1959,20.0,4000.0,,408533,,poldrack-single-stim,s483
105,4908.0,smaller_sooner,,discount_fixed,71,23.0,110.0,"89,71",1290,20.0,4000.0,,413443,,poldrack-single-stim,s483
106,4636.0,smaller_sooner,,discount_fixed,71,65.0,156.0,"89,71",963,20.0,4000.0,,418081,,poldrack-single-stim,s483
107,4500.0,larger_later,,discount_fixed,89,22.0,27.0,"89,71",1317,20.0,4000.0,,422583,,poldrack-single-stim,s483
108,4500.0,smaller_sooner,,discount_fixed,71,50.0,59.0,"89,71",2978,20.0,4000.0,,427086,,poldrack-single-stim,s483
109,5112.0,smaller_sooner,,discount_fixed,71,85.0,129.0,"89,71",1076,20.0,4000.0,,432200,,poldrack-single-stim,s483
110,6132.0,larger_later,,discount_fixed,89,66.0,58.0,"89,71",2716,20.0,4000.0,,438334,,poldrack-single-stim,s483
111,4840.0,smaller_sooner,,discount_fixed,71,49.0,172.0,"89,71",1188,20.0,4000.0,,443176,,poldrack-single-stim,s483
112,4568.0,larger_later,,discount_fixed,89,73.0,44.0,"89,71",1837,20.0,4000.0,,447747,,poldrack-single-stim,s483
113,4704.0,larger_later,,discount_fixed,89,58.0,73.0,"89,71",2508,20.0,4000.0,,452453,,poldrack-single-stim,s483
114,5860.0,smaller_sooner,,discount_fixed,71,71.0,76.0,"89,71",1611,20.0,4000.0,,458314,,poldrack-single-stim,s483
115,4636.0,smaller_sooner,,discount_fixed,71,67.0,74.0,"89,71",1325,20.0,4000.0,,462952,,poldrack-single-stim,s483
116,5316.0,smaller_sooner,,discount_fixed,71,29.0,58.0,"89,71",1922,20.0,4000.0,,468270,,poldrack-single-stim,s483
117,4976.0,smaller_sooner,,discount_fixed,71,39.0,104.0,"89,71",2518,20.0,4000.0,,473248,,poldrack-single-stim,s483
118,4568.0,smaller_sooner,,discount_fixed,71,33.0,103.0,"89,71",1004,20.0,4000.0,,477818,,poldrack-single-stim,s483
119,5520.0,smaller_sooner,,discount_fixed,71,33.0,78.0,"89,71",1413,20.0,4000.0,,483341,,poldrack-single-stim,s483
120,5588.0,larger_later,,discount_fixed,89,74.0,52.0,"89,71",1933,20.0,4000.0,,488931,,poldrack-single-stim,s483
121,5792.0,smaller_sooner,,discount_fixed,71,28.0,132.0,"89,71",1021,20.0,4000.0,,494724,,poldrack-single-stim,s483
122,4568.0,smaller_sooner,,discount_fixed,71,28.0,59.0,"89,71",1582,20.0,4000.0,,499295,,poldrack-single-stim,s483
123,5112.0,smaller_sooner,,discount_fixed,71,28.0,163.0,"89,71",1059,20.0,4000.0,,504408,,poldrack-single-stim,s483
124,4500.0,smaller_sooner,,discount_fixed,71,32.0,74.0,"89,71",949,20.0,4000.0,,508910,,poldrack-single-stim,s483
125,4840.0,smaller_sooner,,discount_fixed,71,57.0,89.0,"89,71",1398,20.0,4000.0,,513753,,poldrack-single-stim,s483
126,4568.0,smaller_sooner,,discount_fixed,71,70.0,108.0,"89,71",1052,20.0,4000.0,,518322,,poldrack-single-stim,s483
127,5384.0,smaller_sooner,,discount_fixed,71,72.0,95.0,"89,71",1068,20.0,4000.0,,523709,,poldrack-single-stim,s483
128,5044.0,larger_later,,discount_fixed,89,30.0,36.0,"89,71",1291,20.0,4000.0,,528755,,poldrack-single-stim,s483
129,4704.0,smaller_sooner,,discount_fixed,71,41.0,129.0,"89,71",820,20.0,4000.0,,533461,,poldrack-single-stim,s483
130,4908.0,smaller_sooner,,discount_fixed,71,78.0,129.0,"89,71",1136,20.0,4000.0,,538371,,poldrack-single-stim,s483
131,4908.0,smaller_sooner,,discount_fixed,71,71.0,88.0,"89,71",1235,20.0,4000.0,,543281,,poldrack-single-stim,s483
132,4840.0,smaller_sooner,,discount_fixed,71,65.0,159.0,"89,71",911,20.0,4000.0,,548125,,poldrack-single-stim,s483
133,5112.0,smaller_sooner,,discount_fixed,71,24.0,125.0,"89,71",982,20.0,4000.0,,553239,,poldrack-single-stim,s483
134,5112.0,larger_later,,discount_fixed,89,58.0,36.0,"89,71",1689,20.0,4000.0,,558352,,poldrack-single-stim,s483
135,4704.0,larger_later,,discount_fixed,89,63.0,37.0,"89,71",2018,20.0,4000.0,,563058,,poldrack-single-stim,s483
136,4840.0,larger_later,,discount_fixed,89,75.0,41.0,"89,71",1861,20.0,4000.0,,567899,,poldrack-single-stim,s483
137,4840.0,smaller_sooner,,discount_fixed,71,45.0,72.0,"89,71",784,20.0,4000.0,,572741,,poldrack-single-stim,s483
138,6880.0,smaller_sooner,,discount_fixed,71,25.0,74.0,"89,71",1465,20.0,4000.0,,579625,,poldrack-single-stim,s483
139,4568.0,smaller_sooner,,discount_fixed,71,65.0,137.0,"89,71",2699,20.0,4000.0,,584195,,poldrack-single-stim,s483
140,4772.0,smaller_sooner,,discount_fixed,71,49.0,140.0,"89,71",1303,20.0,4000.0,,588970,,poldrack-single-stim,s483
141,7016.0,smaller_sooner,,discount_fixed,71,67.0,103.0,"89,71",858,20.0,4000.0,,595988,,poldrack-single-stim,s483
142,4704.0,smaller_sooner,,discount_fixed,71,69.0,172.0,"89,71",680,20.0,4000.0,,600694,,poldrack-single-stim,s483
143,5180.0,smaller_sooner,,discount_fixed,71,66.0,71.0,"89,71",2037,20.0,4000.0,,605876,,poldrack-single-stim,s483
144,5044.0,smaller_sooner,,discount_fixed,71,71.0,176.0,"89,71",611,20.0,4000.0,,610922,,poldrack-single-stim,s483
