,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
333,2100.272,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",446,1700.0,,250683,stim,90.0,poldrack-single-stim,s546
336,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",433,1700.0,,253288,stim,91.0,poldrack-single-stim,s546
339,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",629,1700.0,,255893,stim,92.0,poldrack-single-stim,s546
342,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",528,1700.0,,258501,stim,93.0,poldrack-single-stim,s546
345,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",577,1700.0,,261107,stim,94.0,poldrack-single-stim,s546
348,2100.272,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",673,1700.0,,263712,stim,95.0,poldrack-single-stim,s546
351,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",813,1700.0,,266318,stim,96.0,poldrack-single-stim,s546
354,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",672,1700.0,,268923,stim,97.0,poldrack-single-stim,s546
357,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",483,1700.0,,271530,stim,98.0,poldrack-single-stim,s546
360,2100.272,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",468,1700.0,,274136,stim,99.0,poldrack-single-stim,s546
363,2100.408,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",592,1700.0,,276743,stim,100.0,poldrack-single-stim,s546
366,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",575,1700.0,,279350,stim,101.0,poldrack-single-stim,s546
369,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",534,1700.0,,281955,stim,102.0,poldrack-single-stim,s546
372,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",420,1700.0,,284561,stim,103.0,poldrack-single-stim,s546
375,2100.0,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",519,1700.0,,287166,stim,104.0,poldrack-single-stim,s546
378,2100.408,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",388,1700.0,,289773,stim,105.0,poldrack-single-stim,s546
