CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2136.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",864.0,#1F45FC,1000.0,4.0,color,stay,,200953,0.0,stim,72.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",752.0,orange,1000.0,6.0,color,stay,,203196,0.0,stim,73.0,poldrack-single-stim,s061
900.0,2272.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",714.0,#1F45FC,1000.0,2.0,magnitude,switch,,206375,0.0,stim,74.0,poldrack-single-stim,s061
100.0,3224.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",893.0,#1F45FC,1000.0,8.0,magnitude,stay,,209707,0.0,stim,75.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",791.0,#1F45FC,1000.0,1.0,magnitude,stay,,212615,0.0,stim,76.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",891.0,#1F45FC,1000.0,8.0,color,switch,,214722,0.0,stim,77.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1196.0,orange,1000.0,6.0,magnitude,switch,,217099,0.0,stim,78.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",528.0,orange,1000.0,1.0,color,switch,,220141,0.0,stim,79.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",923.0,#1F45FC,1000.0,8.0,color,stay,,235762,0.0,stim,0.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1246.0,orange,1000.0,7.0,magnitude,switch,,237869,0.0,stim,1.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",545.0,orange,1000.0,3.0,color,switch,,240778,0.0,stim,2.0,poldrack-single-stim,s061
100.0,2680.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1007.0,orange,1000.0,2.0,magnitude,switch,,243564,0.0,stim,3.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",470.0,#1F45FC,1000.0,8.0,color,switch,,246472,0.0,stim,4.0,poldrack-single-stim,s061
100.0,2272.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",806.0,#1F45FC,1000.0,2.0,color,stay,,248852,0.0,stim,5.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",740.0,orange,1000.0,9.0,color,stay,,250958,0.0,stim,6.0,poldrack-single-stim,s061
900.0,2272.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",510.0,orange,1000.0,3.0,color,stay,,254136,0.0,stim,7.0,poldrack-single-stim,s061
100.0,2952.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1128.0,orange,1000.0,8.0,magnitude,switch,,257196,0.0,stim,8.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",516.0,orange,1000.0,7.0,color,switch,,260104,0.0,stim,9.0,poldrack-single-stim,s061
900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",1191.0,#1F45FC,1000.0,2.0,magnitude,switch,,263012,0.0,stim,10.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",988.0,orange,1000.0,1.0,magnitude,stay,,265128,0.0,stim,11.0,poldrack-single-stim,s061
900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",775.0,#1F45FC,1000.0,2.0,color,switch,,268036,0.0,stim,12.0,poldrack-single-stim,s061
900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1108.0,#1F45FC,1000.0,8.0,magnitude,switch,,271079,0.0,stim,13.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",859.0,#1F45FC,1000.0,8.0,magnitude,stay,,273184,0.0,stim,14.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",752.0,orange,1000.0,7.0,color,switch,,275292,0.0,stim,15.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",972.0,orange,1000.0,3.0,color,stay,,277399,0.0,stim,16.0,poldrack-single-stim,s061
100.0,2272.0,False,89.0,Magnitude,,test,twobytwo,,71.0,"89,71",904.0,orange,1000.0,9.0,magnitude,switch,,279778,0.0,stim,17.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1145.0,orange,1000.0,3.0,color,switch,,282821,0.0,stim,18.0,poldrack-single-stim,s061
100.0,2000.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",914.0,orange,1000.0,9.0,color,stay,,284928,0.0,stim,19.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",866.0,#1F45FC,1000.0,2.0,magnitude,switch,,287972,0.0,stim,20.0,poldrack-single-stim,s061
900.0,2816.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",735.0,orange,1000.0,9.0,color,switch,,291695,0.0,stim,21.0,poldrack-single-stim,s061
900.0,2408.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",664.0,#1F45FC,1000.0,7.0,color,stay,,295010,0.0,stim,22.0,poldrack-single-stim,s061
100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",1255.0,#1F45FC,1000.0,7.0,magnitude,switch,,297120,0.0,stim,23.0,poldrack-single-stim,s061
100.0,2136.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",1002.0,orange,1000.0,4.0,magnitude,stay,,299363,0.0,stim,24.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",619.0,orange,1000.0,2.0,magnitude,stay,,302408,0.0,stim,25.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",507.0,orange,1000.0,2.0,color,switch,,305450,0.0,stim,26.0,poldrack-single-stim,s061
100.0,2544.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",851.0,orange,1000.0,8.0,color,stay,,308100,0.0,stim,27.0,poldrack-single-stim,s061
900.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",734.0,#1F45FC,1000.0,4.0,magnitude,switch,,311142,0.0,stim,28.0,poldrack-single-stim,s061
