block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
2044.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",525,500.0,,496991,0.0,probe,28.0,poldrack-single-stim,s557
2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",613,500.0,,501677,0.0,probe,29.0,poldrack-single-stim,s557
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",580,500.0,,505819,0.0,probe,30.0,poldrack-single-stim,s557
1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",780,500.0,,510096,0.0,probe,31.0,poldrack-single-stim,s557
1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",693,500.0,,514101,0.0,probe,32.0,poldrack-single-stim,s557
1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",408,500.0,,518516,0.0,probe,33.0,poldrack-single-stim,s557
2044.0,AX,0.0,89.0,test,dot_pattern_expectancy,71.0,"89,71",1634,500.0,,523067,0.0,probe,34.0,poldrack-single-stim,s557
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",472,500.0,,527208,0.0,probe,35.0,poldrack-single-stim,s557
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",478,500.0,,531487,0.0,probe,36.0,poldrack-single-stim,s557
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",583,500.0,,535630,0.0,probe,37.0,poldrack-single-stim,s557
1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",481,500.0,,539908,0.0,probe,38.0,poldrack-single-stim,s557
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",378,500.0,,543915,0.0,probe,39.0,poldrack-single-stim,s557
7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,551418,1000.0,rest_block,,poldrack-single-stim,s557
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",610,500.0,,558563,0.0,probe,0.0,poldrack-single-stim,s557
1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",524,500.0,,562571,0.0,probe,1.0,poldrack-single-stim,s557
2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",479,500.0,,567119,0.0,probe,2.0,poldrack-single-stim,s557
1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",554,500.0,,571398,0.0,probe,3.0,poldrack-single-stim,s557
