,Unnamed: 0,Unnamed: 0.1,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
71,71,272,900.0,True,71.0,Magnitude,stay,test,twobytwo,71.0,"89,71",698.0,orange,1.0,magnitude,stay,,155731,stim,55.0,poldrack-single-stim,s061
72,72,275,900.0,True,71.0,High-Low,switch,test,twobytwo,71.0,"89,71",740.0,orange,1.0,magnitude,stay,,158640,stim,56.0,poldrack-single-stim,s061
73,73,278,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",699.0,orange,3.0,magnitude,stay,,161546,stim,57.0,poldrack-single-stim,s061
74,74,281,100.0,True,71.0,Color,,test,twobytwo,71.0,"89,71",856.0,orange,7.0,color,switch,,163788,stim,58.0,poldrack-single-stim,s061
75,75,284,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",970.0,#1F45FC,2.0,magnitude,switch,,166697,stim,59.0,poldrack-single-stim,s061
76,76,287,100.0,True,71.0,Magnitude,switch,test,twobytwo,71.0,"89,71",1053.0,orange,2.0,magnitude,stay,,168939,stim,60.0,poldrack-single-stim,s061
77,77,290,100.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",809.0,orange,1.0,color,switch,,171316,stim,61.0,poldrack-single-stim,s061
78,78,293,100.0,True,89.0,High-Low,,test,twobytwo,89.0,"89,71",1367.0,orange,6.0,magnitude,switch,,173559,stim,62.0,poldrack-single-stim,s061
79,79,296,900.0,True,71.0,High-Low,stay,test,twobytwo,71.0,"89,71",664.0,orange,2.0,magnitude,stay,,176740,stim,63.0,poldrack-single-stim,s061
80,80,299,900.0,True,71.0,Orange-Blue,,test,twobytwo,71.0,"89,71",530.0,orange,4.0,color,switch,,179648,stim,64.0,poldrack-single-stim,s061
81,81,302,100.0,True,71.0,Orange-Blue,stay,test,twobytwo,71.0,"89,71",895.0,orange,6.0,color,stay,,182571,stim,65.0,poldrack-single-stim,s061
82,82,305,900.0,True,71.0,Color,switch,test,twobytwo,71.0,"89,71",572.0,orange,9.0,color,stay,,185887,stim,66.0,poldrack-single-stim,s061
83,83,308,900.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",553.0,orange,3.0,color,stay,,188797,stim,67.0,poldrack-single-stim,s061
84,84,311,100.0,True,89.0,Color,stay,test,twobytwo,89.0,"89,71",749.0,#1F45FC,4.0,color,stay,,191449,stim,68.0,poldrack-single-stim,s061
85,85,314,100.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",1011.0,orange,3.0,magnitude,switch,,193692,stim,69.0,poldrack-single-stim,s061
86,86,317,900.0,True,89.0,Orange-Blue,,test,twobytwo,89.0,"89,71",526.0,#1F45FC,3.0,color,switch,,196600,stim,70.0,poldrack-single-stim,s061
87,87,320,100.0,True,89.0,Orange-Blue,stay,test,twobytwo,89.0,"89,71",1016.0,#1F45FC,7.0,color,stay,,198711,stim,71.0,poldrack-single-stim,s061
88,88,323,100.0,True,89.0,Color,switch,test,twobytwo,89.0,"89,71",864.0,#1F45FC,4.0,color,stay,,200953,stim,72.0,poldrack-single-stim,s061
89,89,326,100.0,True,71.0,Color,stay,test,twobytwo,71.0,"89,71",752.0,orange,6.0,color,stay,,203196,stim,73.0,poldrack-single-stim,s061
90,90,329,900.0,True,71.0,High-Low,,test,twobytwo,71.0,"89,71",714.0,#1F45FC,2.0,magnitude,switch,,206375,stim,74.0,poldrack-single-stim,s061
91,91,332,100.0,True,89.0,Magnitude,switch,test,twobytwo,89.0,"89,71",893.0,#1F45FC,8.0,magnitude,stay,,209707,stim,75.0,poldrack-single-stim,s061
92,92,335,900.0,True,71.0,High-Low,switch,test,twobytwo,71.0,"89,71",791.0,#1F45FC,1.0,magnitude,stay,,212615,stim,76.0,poldrack-single-stim,s061
