,Unnamed: 0,Unnamed: 0.1,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
129,129,421,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",617,,538495,probe,37.0,poldrack-single-stim,s061
130,130,424,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",746,,542637,probe,38.0,poldrack-single-stim,s061
131,131,427,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",592,,547052,probe,39.0,poldrack-single-stim,s061
132,132,428,,,,,dot_pattern_expectancy,-1.0,none,-1,,554555,rest_block,,poldrack-single-stim,s061
133,133,432,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",537,,561836,probe,0.0,poldrack-single-stim,s061
134,134,435,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",479,,565843,probe,1.0,poldrack-single-stim,s061
135,135,438,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",670,,570802,probe,2.0,poldrack-single-stim,s061
136,136,441,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",649,,575079,probe,3.0,poldrack-single-stim,s061
137,137,444,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",626,,579494,probe,4.0,poldrack-single-stim,s061
138,138,447,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",723,,583909,probe,5.0,poldrack-single-stim,s061
139,139,450,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",512,,589004,probe,6.0,poldrack-single-stim,s061
140,140,453,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",693,,593011,probe,7.0,poldrack-single-stim,s061
141,141,456,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",728,,597018,probe,8.0,poldrack-single-stim,s061
142,142,459,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",334,,601025,probe,9.0,poldrack-single-stim,s061
143,143,462,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",442,,605169,probe,10.0,poldrack-single-stim,s061
144,144,465,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",306,,609720,probe,11.0,poldrack-single-stim,s061
145,145,468,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",444,,613998,probe,12.0,poldrack-single-stim,s061
146,146,471,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",280,,619092,probe,13.0,poldrack-single-stim,s061
147,147,474,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",867,,623097,probe,14.0,poldrack-single-stim,s061
148,148,477,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",810,,628054,probe,15.0,poldrack-single-stim,s061
149,149,480,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",257,,632198,probe,16.0,poldrack-single-stim,s061
150,150,483,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",545,,636340,probe,17.0,poldrack-single-stim,s061
151,151,486,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",505,,640346,probe,18.0,poldrack-single-stim,s061
152,152,489,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",261,,644488,probe,19.0,poldrack-single-stim,s061
153,153,492,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",499,,648496,probe,20.0,poldrack-single-stim,s061
154,154,495,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",574,,653182,probe,21.0,poldrack-single-stim,s061
155,155,498,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",668,,657189,probe,22.0,poldrack-single-stim,s061
156,156,501,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",492,,661603,probe,23.0,poldrack-single-stim,s061
157,157,504,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",297,,665748,probe,24.0,poldrack-single-stim,s061
158,158,507,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",730,,669891,probe,25.0,poldrack-single-stim,s061
159,159,510,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",513,,674035,probe,26.0,poldrack-single-stim,s061
160,160,513,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",509,,678042,probe,27.0,poldrack-single-stim,s061
161,161,516,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",324,,682593,probe,28.0,poldrack-single-stim,s061
162,162,519,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",742,,687279,probe,29.0,poldrack-single-stim,s061
163,163,522,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",660,,691422,probe,30.0,poldrack-single-stim,s061
164,164,525,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",686,,695703,probe,31.0,poldrack-single-stim,s061
165,165,528,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",525,,699708,probe,32.0,poldrack-single-stim,s061
166,166,531,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",439,,704122,probe,33.0,poldrack-single-stim,s061
167,167,534,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",450,,708674,probe,34.0,poldrack-single-stim,s061
168,168,537,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",773,,712816,probe,35.0,poldrack-single-stim,s061
169,169,540,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",508,,717094,probe,36.0,poldrack-single-stim,s061
170,170,543,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",590,,721237,probe,37.0,poldrack-single-stim,s061
171,171,546,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",355,,725517,probe,38.0,poldrack-single-stim,s061
172,172,549,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",454,,729524,probe,39.0,poldrack-single-stim,s061
173,173,7,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",1153,,-87385,probe,0.0,poldrack-single-stim,s130
174,174,11,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",878,,-82676,probe,1.0,poldrack-single-stim,s130
175,175,15,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",966,,-77566,probe,2.0,poldrack-single-stim,s130
176,176,19,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",969,,-73057,probe,3.0,poldrack-single-stim,s130
177,177,23,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",1034,,-68151,probe,4.0,poldrack-single-stim,s130
178,178,27,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",958,,-63644,probe,5.0,poldrack-single-stim,s130
179,179,31,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",1071,,-58333,probe,6.0,poldrack-single-stim,s130
180,180,35,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",1069,,-53824,probe,7.0,poldrack-single-stim,s130
181,181,39,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",799,,-49316,probe,8.0,poldrack-single-stim,s130
182,182,43,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",817,,-43808,probe,9.0,poldrack-single-stim,s130
183,183,66,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",943,,7691,probe,0.0,poldrack-single-stim,s130
184,184,69,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",923,,12513,probe,1.0,poldrack-single-stim,s130
185,185,72,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1073,,16655,probe,2.0,poldrack-single-stim,s130
186,186,75,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",899,,21069,probe,3.0,poldrack-single-stim,s130
187,187,78,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1059,,27116,probe,4.0,poldrack-single-stim,s130
188,188,81,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",828,,31260,probe,5.0,poldrack-single-stim,s130
189,189,84,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",922,,35266,probe,6.0,poldrack-single-stim,s130
190,190,87,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",848,,39272,probe,7.0,poldrack-single-stim,s130
191,191,90,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",986,,43551,probe,8.0,poldrack-single-stim,s130
192,192,93,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",935,,48510,probe,9.0,poldrack-single-stim,s130
193,193,96,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",891,,52925,probe,10.0,poldrack-single-stim,s130
194,194,99,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",505,,57067,probe,11.0,poldrack-single-stim,s130
195,195,102,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1045,,61072,probe,12.0,poldrack-single-stim,s130
196,196,105,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1123,,65215,probe,13.0,poldrack-single-stim,s130
197,197,108,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1251,,69358,probe,14.0,poldrack-single-stim,s130
198,198,111,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1072,,74316,probe,15.0,poldrack-single-stim,s130
199,199,114,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",1147,,78323,probe,16.0,poldrack-single-stim,s130
200,200,117,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1218,,82330,probe,17.0,poldrack-single-stim,s130
201,201,120,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",904,,86471,probe,18.0,poldrack-single-stim,s130
202,202,123,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",873,,90613,probe,19.0,poldrack-single-stim,s130
203,203,126,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",882,,94754,probe,20.0,poldrack-single-stim,s130
204,204,129,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",877,,98759,probe,21.0,poldrack-single-stim,s130
205,205,132,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",992,,102768,probe,22.0,poldrack-single-stim,s130
