rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,small_amount,large_amount,later_delay,choice,exp_id,bonus
1071,71,poldrack-single-stim,38,163588,0.0-38.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$24</div><br><br><div class = delbox style = ""color:white"">89 days</div></div>","89,71",4000,,20,24,89,smaller_sooner,,
646,71,poldrack-single-stim,39,168159,0.0-39.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$23</div><br><br><div class = delbox style = ""color:white"">77 days</div></div>","89,71",4000,,20,23,77,smaller_sooner,,
988,71,poldrack-single-stim,40,172729,0.0-40.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$27</div><br><br><div class = delbox style = ""color:white"">130 days</div></div>","89,71",4000,,20,27,130,smaller_sooner,,
947,71,poldrack-single-stim,41,177571,0.0-41.0,s549,,4840,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$23</div><br><br><div class = delbox style = ""color:white"">134 days</div></div>","89,71",4000,,20,23,134,smaller_sooner,,
989,89,poldrack-single-stim,42,182074,0.0-42.0,s549,,4500,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$55</div><br><br><div class = delbox style = ""color:white"">107 days</div></div>","89,71",4000,,20,55,107,larger_later,,
1017,89,poldrack-single-stim,43,187731,0.0-43.0,s549,,5656,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$44</div><br><br><div class = delbox style = ""color:white"">143 days</div></div>","89,71",4000,,20,44,143,larger_later,,
1677,71,poldrack-single-stim,44,192640,0.0-44.0,s549,,4908,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$23</div><br><br><div class = delbox style = ""color:white"">110 days</div></div>","89,71",4000,,20,23,110,smaller_sooner,,
1092,89,poldrack-single-stim,45,197279,0.0-45.0,s549,,4636,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$65</div><br><br><div class = delbox style = ""color:white"">156 days</div></div>","89,71",4000,,20,65,156,larger_later,,
789,71,poldrack-single-stim,46,201781,0.0-46.0,s549,,4500,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$22</div><br><br><div class = delbox style = ""color:white"">27 days</div></div>","89,71",4000,,20,22,27,smaller_sooner,,
1026,89,poldrack-single-stim,47,206283,0.0-47.0,s549,,4500,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$50</div><br><br><div class = delbox style = ""color:white"">59 days</div></div>","89,71",4000,,20,50,59,larger_later,,
597,89,poldrack-single-stim,48,211398,0.0-48.0,s549,,5112,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$85</div><br><br><div class = delbox style = ""color:white"">129 days</div></div>","89,71",4000,,20,85,129,larger_later,,
589,89,poldrack-single-stim,49,217532,0.0-49.0,s549,,6132,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$66</div><br><br><div class = delbox style = ""color:white"">58 days</div></div>","89,71",4000,,20,66,58,larger_later,,
541,89,poldrack-single-stim,50,222374,0.0-50.0,s549,,4840,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$49</div><br><br><div class = delbox style = ""color:white"">172 days</div></div>","89,71",4000,,20,49,172,larger_later,,
854,89,poldrack-single-stim,51,226946,0.0-51.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$73</div><br><br><div class = delbox style = ""color:white"">44 days</div></div>","89,71",4000,,20,73,44,larger_later,,
626,89,poldrack-single-stim,52,231652,0.0-52.0,s549,,4704,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">73 days</div></div>","89,71",4000,,20,58,73,larger_later,,
2010,89,poldrack-single-stim,53,237514,0.0-53.0,s549,,5860,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$71</div><br><br><div class = delbox style = ""color:white"">76 days</div></div>","89,71",4000,,20,71,76,larger_later,,
639,89,poldrack-single-stim,54,242152,0.0-54.0,s549,,4636,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$67</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71",4000,,20,67,74,larger_later,,
1803,71,poldrack-single-stim,55,247469,0.0-55.0,s549,,5316,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$29</div><br><br><div class = delbox style = ""color:white"">58 days</div></div>","89,71",4000,,20,29,58,smaller_sooner,,
741,89,poldrack-single-stim,56,252447,0.0-56.0,s549,,4976,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$39</div><br><br><div class = delbox style = ""color:white"">104 days</div></div>","89,71",4000,,20,39,104,larger_later,,
2044,89,poldrack-single-stim,57,257017,0.0-57.0,s549,,4568,0,,"<div class = dd-stim><div class = amtbox style = ""color:white"">$33</div><br><br><div class = delbox style = ""color:white"">103 days</div></div>","89,71",4000,,20,33,103,larger_later,,
