,ANT_acc,discountFix_acc,DPX_acc,motorSelectiveStop_acc,stopSignal_acc,twoByTwo_acc,stroop_acc,WATT_acc,CCTHot_acc
s636,0.9921875,0.14166666666666666,0.98125,0.9866666666666667,0.8933333333333333,0.8833333333333333,1.0,1.2208333333333332,0.48325358851674644
s637,,0.6410256410256411,0.825,0.9411764705882353,,,0.8854166666666666,,
s638,0.984375,0.4322033898305085,0.79375,0.9733333333333334,0.9733333333333334,0.9291666666666667,0.96875,1.2625,0.46616541353383456
s639,0.984375,,,,0.9333333333333333,0.9583333333333334,,1.1166666666666667,0.6069364161849711
s640,0.9921875,,,,0.96,0.9625,,1.3875,0.5574324324324325
s641,0.984375,0.4369747899159664,0.9875,0.9078947368421053,0.9733333333333334,0.9291666666666667,0.9479166666666666,1.2,0.5877862595419847
s642,1.0,0.9,0.99375,0.96,0.92,0.9208333333333333,0.9166666666666666,0.8875,0.5166666666666667
s643,0.9921875,0.3865546218487395,0.95625,1.0,0.88,0.7541666666666667,0.96875,1.325,0.48717948717948717
s644,1.0,0.07563025210084033,0.93125,0.9733333333333334,0.92,0.8583333333333333,0.40625,1.384782608695652,0.5177304964539007
s645,0.9765625,0.725,0.9125,0.9333333333333333,0.9066666666666666,0.9125,0.9895833333333334,1.2833333333333332,0.5737704918032787
s646,0.9921875,,,,0.6933333333333334,0.7875,,1.3666666666666667,0.5151515151515151
s647,0.953125,,0.9375,0.9866666666666667,0.9733333333333334,0.9291666666666667,1.0,1.2833333333333332,0.5343915343915344
s648,1.0,0.6333333333333333,0.9875,1.0,1.0,0.9458333333333333,0.9791666666666666,1.2543478260869565,0.5277777777777778
s649,0.9765625,1.0,0.83125,0.9777777777777777,0.7066666666666667,0.8083333333333333,0.96875,1.2416666666666667,0.5767441860465117
s650,0.625,0.5238095238095238,0.675,0.96,0.6133333333333333,0.4166666666666667,0.7604166666666666,1.2555555555555555,0.5033112582781457
